system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861763+203986,1379.0,17.0,1265.5,1011.0,1138.5,1007.0,1033.0,1046.0,1123.5,1232.0,1133.5,1316.0,322.0,18.324419070404677,77.41353233463333,0.046516865491867065,-0.055018529295921326,0.0,0.0,0.0,
0_+861763+203987,1379.0,17.0,1265.5,1011.0,1152.5,1011.5,1052.5,1046.0,1123.5,1232.0,1158.5,1316.0,322.0,18.32450890193309,77.41353233463333,0.048071712255477905,-0.04415053501725197,0.0,0.0,0.0,
0_+861763+203988,1379.0,17.0,1318.5,1033.0,1151.5,1024.0,1069.5,1058.0,1151.5,1259.0,1185.0,1345.0,322.0,18.3245987334615,77.41353233463333,0.051274970173835754,-0.053217656910419464,0.0,0.0,0.0,
0_+861763+203989,1379.0,17.0,1318.5,1033.0,1139.0,1015.0,1052.0,1058.0,1151.5,1259.0,1186.5,1345.0,322.0,18.324688564989913,77.41353233463333,0.06005413830280304,-0.05262644588947296,0.0,0.0,0.0,
0_+861763+203990,1379.0,17.0,1499.5,1131.5,1134.5,1010.5,1035.5,1121.0,1238.0,1404.0,1243.5,1515.5,322.0,18.324778396518326,77.41353233463333,0.09111852943897247,-0.0930391475558281,0.0,0.0,0.0,
0_+861764+203981,1444.0,24.0,1309.0,904.0,1183.0,1016.0,1019.0,1047.0,1251.0,1491.0,1211.0,1557.0,274.0,18.323969912762617,77.41362216616174,0.08609865605831146,-0.03888889029622078,0.0,0.0,0.0,
0_+861764+203982,1373.5,16.5,1236.5,957.0,1133.5,1004.5,1012.0,1022.5,1144.0,1212.0,1130.0,1340.0,339.0,18.32405974429103,77.41362216616174,0.05561879277229309,-0.04497209191322327,0.0,0.0,0.0,
0_+861764+203983,1373.5,16.5,1236.5,957.0,1142.5,1010.5,1033.0,1022.5,1144.0,1212.0,1152.0,1340.0,339.0,18.32414957581944,77.41362216616174,0.054590173065662384,-0.03536022827029228,0.0,0.0,0.0,
0_+861764+203984,1373.5,16.5,1246.5,987.0,1148.5,999.5,1019.5,1028.5,1106.5,1221.5,1148.0,1292.5,339.0,18.324239407347854,77.41362216616174,0.05943704769015312,-0.0410943329334259,0.0,0.0,0.0,
0_+861764+203985,1373.5,16.5,1246.5,987.0,1136.0,1001.5,1024.0,1028.5,1106.5,1221.5,1123.5,1292.5,339.0,18.324329238876263,77.41362216616174,0.046534374356269836,-0.05184739828109741,0.0,0.0,0.0,
0_+861764+203986,1376.5,17.0,1252.0,1001.5,1137.5,1001.5,1019.5,1032.5,1103.5,1222.5,1130.5,1302.5,341.0,18.324419070404677,77.41362216616174,0.05180942639708519,-0.0510004386305809,0.0,0.0,0.0,
0_+861764+203987,1376.5,17.0,1252.0,1001.5,1143.0,1004.5,1028.5,1032.5,1103.5,1222.5,1139.0,1302.5,341.0,18.32450890193309,77.41362216616174,0.05116254836320877,-0.04725484549999237,0.0,0.0,0.0,
0_+861764+203988,1376.5,17.0,1324.5,1014.5,1149.0,1014.5,1039.0,1042.5,1187.0,1289.5,1168.5,1397.5,341.0,18.3245987334615,77.41362216616174,0.05884699895977974,-0.06241723150014877,0.0,0.0,0.0,
